Supp,Conf,Covr,Strg,Lift,Levr,Antecedent,,Consequent
0.29,0.855,0.339,2.036,1.239,0.056,"TP_COR_RACA=NãoBranco, TemPC=Não",→,"ClasseSocial=E, TP_DEPENDENCIA_ADM_ESC=Estadual"
0.29,0.878,0.33,2.166,1.227,0.054,"TP_COR_RACA=NãoBranco, TemPC=Não, TP_DEPENDENCIA_ADM_ESC=Estadual",→,ClasseSocial=E
0.297,0.876,0.339,2.11,1.225,0.055,"TP_COR_RACA=NãoBranco, TemPC=Não",→,ClasseSocial=E
0.396,0.836,0.474,1.456,1.211,0.069,TemPC=Não,→,"ClasseSocial=E, TP_DEPENDENCIA_ADM_ESC=Estadual"
0.206,0.833,0.248,2.785,1.206,0.035,"EstudoMae=F. Incompleto, TP_COR_RACA=NãoBranco",→,"ClasseSocial=E, TP_DEPENDENCIA_ADM_ESC=Estadual"
0.396,0.861,0.46,1.554,1.203,0.067,"TemPC=Não, TP_DEPENDENCIA_ADM_ESC=Estadual",→,ClasseSocial=E
0.407,0.857,0.474,1.509,1.198,0.067,TemPC=Não,→,ClasseSocial=E
0.206,0.856,0.241,2.966,1.196,0.034,"EstudoMae=F. Incompleto, TP_COR_RACA=NãoBranco, TP_DEPENDENCIA_ADM_ESC=Estadual",→,ClasseSocial=E
0.212,0.854,0.248,2.886,1.193,0.034,"EstudoMae=F. Incompleto, TP_COR_RACA=NãoBranco",→,ClasseSocial=E
0.266,0.818,0.326,2.12,1.184,0.041,"mediaNota=452.99 - 585.6, TemPC=Não",→,"ClasseSocial=E, TP_DEPENDENCIA_ADM_ESC=Estadual"
0.266,0.847,0.314,2.277,1.184,0.041,"mediaNota=452.99 - 585.6, TemPC=Não, TP_DEPENDENCIA_ADM_ESC=Estadual",→,ClasseSocial=E
0.287,0.813,0.353,1.955,1.178,0.043,EstudoMae=F. Incompleto,→,"ClasseSocial=E, TP_DEPENDENCIA_ADM_ESC=Estadual"
0.274,0.843,0.326,2.198,1.177,0.041,"mediaNota=452.99 - 585.6, TemPC=Não",→,ClasseSocial=E
0.287,0.838,0.343,2.087,1.171,0.042,"EstudoMae=F. Incompleto, TP_DEPENDENCIA_ADM_ESC=Estadual",→,ClasseSocial=E
