Supp,Conf,Covr,Strg,Lift,Levr,Antecedent,,Consequent
0.277,0.84,0.33,1.724,1.478,0.09,mediaNota=452.99 - 585.6,→,TP_DEPENDENCIA_ADM_ESC=Estadual
0.301,0.78,0.385,1.475,1.373,0.082,ClasseSocial=E,→,TP_DEPENDENCIA_ADM_ESC=Estadual
0.225,0.754,0.299,2.057,1.226,0.042,TP_DEPENDENCIA_ADM_ESC=Particular,→,mediaNota=585.6 - 718.21
0.206,0.751,0.274,2.242,1.221,0.037,"TemPC=Sim, TP_DEPENDENCIA_ADM_ESC=Particular",→,mediaNota=585.6 - 718.21
0.208,0.929,0.224,3.548,1.166,0.03,ClasseSocial=C,→,TemPC=Sim
0.217,0.927,0.234,3.397,1.164,0.031,"EstudoMae=Superior, mediaNota=585.6 - 718.21",→,TemPC=Sim
0.311,0.918,0.338,2.353,1.152,0.041,EstudoMae=Superior,→,TemPC=Sim
0.274,0.917,0.299,2.665,1.152,0.036,TP_DEPENDENCIA_ADM_ESC=Particular,→,TemPC=Sim
0.206,0.914,0.225,3.536,1.148,0.026,"mediaNota=585.6 - 718.21, TP_DEPENDENCIA_ADM_ESC=Particular",→,TemPC=Sim
0.291,0.87,0.335,2.377,1.092,0.025,"mediaNota=585.6 - 718.21, TP_COR_RACA=Branco",→,TemPC=Sim
0.249,0.85,0.293,2.715,1.067,0.016,ClasseSocial=D,→,TemPC=Sim
0.431,0.843,0.512,1.557,1.058,0.024,TP_COR_RACA=Branco,→,TemPC=Sim
0.517,0.84,0.615,1.296,1.055,0.027,mediaNota=585.6 - 718.21,→,TemPC=Sim
0.214,0.802,0.266,2.989,1.006,0.001,"mediaNota=585.6 - 718.21, TP_COR_RACA=NãoBranco",→,TemPC=Sim
0.293,0.795,0.368,2.163,0.998,-0.001,EstudoMae=Medio,→,TemPC=Sim
0.221,0.766,0.288,2.762,0.962,-0.009,"mediaNota=585.6 - 718.21, TP_DEPENDENCIA_ADM_ESC=Estadual",→,TemPC=Sim
0.348,0.744,0.468,1.702,0.934,-0.025,TP_COR_RACA=NãoBranco,→,TemPC=Sim
0.406,0.715,0.569,1.401,0.897,-0.046,TP_DEPENDENCIA_ADM_ESC=Estadual,→,TemPC=Sim
